epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,5195.28,0.33585,0.20622,0.78722,0.99998,0.97802,0.99033,0.93258,0.29341,0.17127,0.80085,0.0011981,0.0011981,0.0011981
83,5246.32,0.34265,0.20608,0.78598,1,0.98572,0.99497,0.95341,0.28723,0.16028,0.80123,0.0011882,0.0011882,0.0011882
84,5297.98,0.341,0.2021,0.78971,0.99722,0.98532,0.99495,0.95232,0.28223,0.16073,0.79986,0.0011783,0.0011783,0.0011783
85,5349.43,0.34079,0.20657,0.78688,1,0.98743,0.995,0.94946,0.29012,0.16666,0.80135,0.0011684,0.0011684,0.0011684
86,5400.89,0.34356,0.20573,0.78977,0.99724,0.99293,0.995,0.95244,0.29133,0.1653,0.80347,0.0011585,0.0011585,0.0011585
87,5452.14,0.34076,0.20281,0.78958,0.98641,0.99725,0.995,0.94988,0.28591,0.16166,0.79983,0.0011486,0.0011486,0.0011486
88,5503.59,0.33605,0.20103,0.78557,0.99952,0.98901,0.99497,0.9532,0.28681,0.16339,0.80145,0.0011387,0.0011387,0.0011387
89,5555.5,0.34301,0.20561,0.78761,1,0.98364,0.99497,0.95284,0.28585,0.16468,0.80102,0.0011288,0.0011288,0.0011288
90,5607.07,0.33548,0.20305,0.78581,1,0.978,0.99486,0.94936,0.28669,0.16325,0.79981,0.0011189,0.0011189,0.0011189
91,5658.51,0.34414,0.20588,0.78922,0.98645,1,0.995,0.95444,0.28249,0.16269,0.80039,0.001109,0.001109,0.001109
92,5709.96,0.33598,0.20221,0.78879,0.99733,0.98901,0.99497,0.95145,0.28894,0.16311,0.80095,0.0010991,0.0010991,0.0010991
93,5761.64,0.34281,0.20525,0.78576,1,0.99017,0.995,0.95601,0.28027,0.15923,0.80092,0.0010892,0.0010892,0.0010892
94,5813.34,0.34336,0.20385,0.78503,1,0.98509,0.99497,0.95074,0.28467,0.16087,0.79999,0.0010793,0.0010793,0.0010793
95,5864.88,0.33575,0.20194,0.78788,0.99449,0.99144,0.99489,0.95014,0.28184,0.16154,0.79901,0.0010694,0.0010694,0.0010694
96,5916.18,0.3327,0.1992,0.78768,0.99974,0.98626,0.99497,0.95256,0.28746,0.15887,0.7985,0.0010595,0.0010595,0.0010595
97,5967.36,0.33419,0.20221,0.7855,0.99723,0.98729,0.99497,0.95268,0.28912,0.16096,0.80102,0.0010496,0.0010496,0.0010496
98,6019.17,0.3342,0.20114,0.7832,1,0.98447,0.99495,0.9486,0.29385,0.15722,0.80149,0.0010397,0.0010397,0.0010397
99,6070.94,0.33253,0.19838,0.7849,1,0.98217,0.995,0.95028,0.28436,0.15732,0.79981,0.0010298,0.0010298,0.0010298
