epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5071.53,0.31793,0.18729,0.78269,1,0.98177,0.995,0.95177,0.28694,0.15648,0.79975,0.0004754,0.0004754,0.0004754
79,5119.94,0.31872,0.18586,0.78135,1,0.98285,0.995,0.95478,0.28654,0.15537,0.79933,0.0004556,0.0004556,0.0004556
80,5168.59,0.32103,0.18329,0.78365,1,0.98093,0.99497,0.95069,0.2884,0.15479,0.8007,0.0004358,0.0004358,0.0004358
81,5217.22,0.32156,0.18633,0.78513,1,0.98962,0.995,0.95205,0.2853,0.15423,0.79991,0.000416,0.000416,0.000416
82,5265.75,0.30715,0.18162,0.78339,1,0.98616,0.995,0.95293,0.28509,0.15399,0.79947,0.0003962,0.0003962,0.0003962
83,5314.04,0.31521,0.18526,0.78188,1,0.98652,0.995,0.95725,0.27931,0.15128,0.79847,0.0003764,0.0003764,0.0003764
84,5362.33,0.31239,0.17977,0.78502,1,0.98779,0.99497,0.95324,0.27834,0.15023,0.79777,0.0003566,0.0003566,0.0003566
85,5411.17,0.30988,0.18239,0.7825,1,0.98642,0.995,0.95366,0.28041,0.14984,0.79833,0.0003368,0.0003368,0.0003368
86,5459.55,0.31154,0.17928,0.78555,0.98913,1,0.995,0.95318,0.28218,0.15299,0.79915,0.000317,0.000317,0.000317
87,5507.81,0.30811,0.17619,0.78488,0.99726,1,0.995,0.95845,0.27455,0.14817,0.79814,0.0002972,0.0002972,0.0002972
88,5556.13,0.30391,0.17489,0.78136,1,0.99242,0.995,0.95746,0.27897,0.14949,0.79962,0.0002774,0.0002774,0.0002774
89,5604.26,0.30853,0.17516,0.78249,0.99183,1,0.995,0.95314,0.27914,0.14532,0.79863,0.0002576,0.0002576,0.0002576
90,5652.63,0.30042,0.17451,0.78121,0.9918,0.99725,0.995,0.95583,0.27731,0.14753,0.79806,0.0002378,0.0002378,0.0002378
91,5779.21,0.30087,0.17117,0.77785,1,0.99291,0.995,0.95071,0.28577,0.15109,0.79976,0.000218,0.000218,0.000218
92,5825.79,0.30023,0.17147,0.7754,1,0.99583,0.995,0.95516,0.28044,0.14979,0.79955,0.0001982,0.0001982,0.0001982
93,5872.75,0.292,0.16389,0.78066,0.99978,0.99451,0.995,0.95629,0.27682,0.14861,0.79872,0.0001784,0.0001784,0.0001784
94,5920.14,0.2891,0.16641,0.7784,1,0.99376,0.995,0.95418,0.27586,0.14783,0.79801,0.0001586,0.0001586,0.0001586
95,5967.42,0.28818,0.16347,0.77356,1,0.99238,0.995,0.95729,0.27955,0.1473,0.7991,0.0001388,0.0001388,0.0001388
96,6014.88,0.29293,0.16342,0.77776,1,0.99085,0.995,0.95741,0.27633,0.14719,0.79806,0.000119,0.000119,0.000119
97,6062.07,0.29081,0.16265,0.77399,1,0.98849,0.995,0.95882,0.2785,0.14639,0.79847,9.92e-05,9.92e-05,9.92e-05
98,6110.01,0.28774,0.16054,0.77841,1,0.98896,0.995,0.95393,0.27763,0.14381,0.7982,7.94e-05,7.94e-05,7.94e-05
99,6157.89,0.28408,0.15881,0.7748,1,0.99038,0.995,0.95619,0.27582,0.14216,0.79812,5.96e-05,5.96e-05,5.96e-05
100,6205.74,0.283,0.15618,0.77786,1,0.99136,0.995,0.9576,0.2773,0.14301,0.798,3.98e-05,3.98e-05,3.98e-05
